Customer_ID,Customer_Name,Region,Is_Prime
10001,Customer_1,East,No
10002,Customer_2,West,No
10003,Customer_3,North,Yes
10004,Customer_4,East,No
10005,Customer_5,East,Yes
10006,Customer_6,West,Yes
10007,Customer_7,North,No
10008,Customer_8,North,Yes
10009,Customer_9,East,No
10010,Customer_10,South,No
10011,Customer_11,East,Yes
10012,Customer_12,East,No
10013,Customer_13,East,Yes
10014,Customer_14,East,Yes
10015,Customer_15,West,No
10016,Customer_16,North,No
10017,Customer_17,West,Yes
10018,Customer_18,West,Yes
10019,Customer_19,West,No
10020,Customer_20,East,No
10021,Customer_21,South,No
10022,Customer_22,North,Yes
10023,Customer_23,South,Yes
10024,Customer_24,West,Yes
10025,Customer_25,West,No
10026,Customer_26,South,Yes
10027,Customer_27,South,Yes
10028,Customer_28,South,No
10029,Customer_29,West,Yes
10030,Customer_30,West,No
10031,Customer_31,North,No
10032,Customer_32,North,No
10033,Customer_33,West,Yes
10034,Customer_34,South,Yes
10035,Customer_35,South,No
10036,Customer_36,North,No
10037,Customer_37,West,No
10038,Customer_38,North,Yes
10039,Customer_39,North,No
10040,Customer_40,East,No
10041,Customer_41,East,No
10042,Customer_42,East,No
10043,Customer_43,South,No
10044,Customer_44,West,No
10045,Customer_45,West,Yes
10046,Customer_46,West,Yes
10047,Customer_47,West,Yes
10048,Customer_48,East,Yes
10049,Customer_49,South,Yes
10050,Customer_50,South,Yes
10051,Customer_51,East,Yes
10052,Customer_52,South,Yes
10053,Customer_53,East,No
10054,Customer_54,West,No
10055,Customer_55,East,Yes
10056,Customer_56,West,No
10057,Customer_57,West,Yes
10058,Customer_58,North,Yes
10059,Customer_59,East,Yes
10060,Customer_60,North,Yes
10061,Customer_61,East,No
10062,Customer_62,East,No
10063,Customer_63,North,Yes
10064,Customer_64,North,Yes
10065,Customer_65,East,Yes
10066,Customer_66,South,Yes
10067,Customer_67,West,Yes
10068,Customer_68,North,Yes
10069,Customer_69,West,No
10070,Customer_70,South,No
10071,Customer_71,South,Yes
10072,Customer_72,South,No
10073,Customer_73,North,Yes
10074,Customer_74,South,Yes
10075,Customer_75,North,Yes
10076,Customer_76,South,No
10077,Customer_77,West,No
10078,Customer_78,West,No
10079,Customer_79,East,Yes
10080,Customer_80,West,No
10081,Customer_81,East,Yes
10082,Customer_82,West,No
10083,Customer_83,North,Yes
10084,Customer_84,West,Yes
10085,Customer_85,East,Yes
10086,Customer_86,East,No
10087,Customer_87,South,Yes
10088,Customer_88,North,No
10089,Customer_89,West,Yes
10090,Customer_90,South,No
10091,Customer_91,West,No
10092,Customer_92,West,No
10093,Customer_93,South,Yes
10094,Customer_94,South,Yes
10095,Customer_95,South,Yes
10096,Customer_96,South,No
10097,Customer_97,South,Yes
10098,Customer_98,West,Yes
10099,Customer_99,South,Yes
10100,Customer_100,North,Yes
10101,Customer_101,East,No
10102,Customer_102,South,Yes
10103,Customer_103,South,No
10104,Customer_104,West,Yes
10105,Customer_105,South,Yes
10106,Customer_106,South,Yes
10107,Customer_107,South,Yes
10108,Customer_108,West,Yes
10109,Customer_109,South,No
10110,Customer_110,East,Yes
10111,Customer_111,West,No
10112,Customer_112,East,Yes
10113,Customer_113,West,Yes
10114,Customer_114,South,No
10115,Customer_115,East,Yes
10116,Customer_116,West,Yes
10117,Customer_117,North,Yes
10118,Customer_118,South,Yes
10119,Customer_119,West,No
10120,Customer_120,North,Yes
10121,Customer_121,West,No
10122,Customer_122,North,No
10123,Customer_123,South,Yes
10124,Customer_124,East,No
10125,Customer_125,North,Yes
10126,Customer_126,West,No
10127,Customer_127,South,Yes
10128,Customer_128,North,No
10129,Customer_129,West,Yes
10130,Customer_130,West,Yes
10131,Customer_131,West,No
10132,Customer_132,North,No
10133,Customer_133,North,Yes
10134,Customer_134,North,Yes
10135,Customer_135,East,No
10136,Customer_136,North,No
10137,Customer_137,North,No
10138,Customer_138,North,No
10139,Customer_139,East,No
10140,Customer_140,North,No
10141,Customer_141,West,Yes
10142,Customer_142,North,Yes
10143,Customer_143,West,No
10144,Customer_144,West,No
10145,Customer_145,West,Yes
10146,Customer_146,East,Yes
10147,Customer_147,East,No
10148,Customer_148,East,Yes
10149,Customer_149,North,Yes
