Order_ID,Customer_ID,Product_ID,Order_Date,Quantity,Price,Sales_Amount
50001,13095,187,2024-07-17,3,4772,14316
50002,10999,181,2020-12-21,1,4112,4112
50003,12285,177,2020-11-19,4,4283,17132
50004,11590,197,2021-08-29,2,2573,5146
50005,11162,165,2021-11-07,4,3709,14836
50006,12521,177,2023-07-31,4,4283,17132
50007,13856,138,2017-08-17,2,3430,6860
50008,14649,167,2023-01-27,4,1469,5876
50009,10695,180,2016-07-19,2,956,1912
50010,14413,142,2020-01-15,3,3008,9024
50011,14864,171,2015-01-07,3,4217,12651
50012,13799,154,2017-05-17,3,2864,8592
50013,13684,167,2022-01-06,3,1469,4407
50014,11972,178,2021-07-07,1,2491,2491
50015,11504,164,2024-06-12,3,4350,13050
50016,13250,180,2016-03-20,2,956,1912
50017,14219,104,2021-07-10,2,1034,2068
50018,13243,131,2024-09-09,2,3963,7926
50019,11869,113,2022-06-01,4,3481,13924
50020,11672,127,2021-05-24,2,1507,3014
50021,11083,159,2017-11-01,1,1459,1459
50022,11729,165,2023-05-03,1,3709,3709
50023,13852,164,2023-09-11,1,4350,4350
50024,12143,125,2018-07-10,1,3853,3853
50025,11149,137,2018-12-29,1,2774,2774
50026,10254,175,2021-01-29,1,3531,3531
50027,14103,173,2019-06-19,3,2154,6462
50028,13543,171,2021-06-26,1,4217,4217
50029,12776,114,2023-07-14,4,4363,17452
50030,14638,194,2019-04-19,1,3544,3544
50031,13334,124,2021-03-08,2,2689,5378
50032,14185,167,2023-02-02,2,1469,2938
50033,13280,148,2017-01-06,4,4184,16736
50034,14309,191,2016-02-21,1,2740,2740
50035,12882,165,2015-09-21,3,3709,11127
50036,10266,138,2021-06-06,3,3430,10290
50037,12341,190,2019-01-19,3,3863,11589
50038,13149,170,2024-01-11,3,3796,11388
50039,13360,159,2015-04-14,1,1459,1459
50040,11005,112,2017-09-13,4,2315,9260
50041,12095,154,2015-08-09,3,2864,8592
50042,14718,151,2015-11-30,1,2237,2237
50043,13272,138,2016-02-22,1,3430,3430
50044,14523,146,2018-08-17,1,3287,3287
50045,10210,199,2022-05-06,1,2414,2414
50046,10888,110,2019-02-17,1,3201,3201
50047,10154,109,2017-08-18,2,4399,8798
50048,13594,187,2019-01-20,1,4772,4772
50049,10415,194,2016-03-11,1,3544,3544
50050,13425,152,2021-09-07,1,1446,1446
50051,11285,151,2022-08-13,2,2237,4474
50052,13149,122,2015-02-12,2,4561,9122
50053,10769,173,2021-03-07,4,2154,8616
50054,10983,183,2020-02-16,4,4211,16844
50055,13203,172,2017-08-23,1,2784,2784
50056,14675,168,2015-01-11,3,1252,3756
50057,13527,105,2015-08-04,1,2768,2768
50058,12788,183,2023-11-10,4,4211,16844
50059,12211,182,2015-08-13,3,3640,10920
50060,11039,129,2019-10-27,3,844,2532
50061,13933,183,2018-06-23,4,4211,16844
50062,10542,106,2022-05-29,1,2840,2840
50063,10359,169,2017-02-11,4,4890,19560
50064,10850,158,2019-12-28,3,3816,11448
50065,14523,143,2015-01-16,2,3636,7272
50066,12545,169,2023-12-10,1,4890,4890
50067,14582,172,2017-10-29,4,2784,11136
50068,11832,191,2022-01-05,4,2740,10960
50069,11473,137,2021-05-29,4,2774,11096
50070,11437,158,2023-08-22,2,3816,7632
50071,10330,137,2023-12-25,2,2774,5548
50072,14355,182,2015-02-27,1,3640,3640
50073,14239,126,2017-09-11,1,3327,3327
50074,14009,142,2017-04-30,1,3008,3008
50075,14723,116,2019-03-16,4,4172,16688
50076,11389,122,2016-10-09,2,4561,9122
50077,14186,123,2020-01-18,1,3047,3047
50078,10720,147,2018-09-16,2,4388,8776
50079,13236,167,2016-04-05,3,1469,4407
50080,14577,103,2017-08-26,1,1276,1276
50081,12132,112,2024-04-19,2,2315,4630
50082,11101,123,2018-05-18,1,3047,3047
50083,10673,111,2023-10-02,2,1963,3926
50084,10517,152,2022-07-02,2,1446,2892
50085,12533,150,2024-09-03,4,507,2028
50086,13671,157,2015-10-17,3,1761,5283
50087,10782,164,2023-12-30,1,4350,4350
50088,13524,146,2024-08-04,2,3287,6574
50089,13559,129,2018-01-25,1,844,844
50090,12387,170,2023-02-15,2,3796,7592
50091,14783,146,2021-04-15,3,3287,9861
50092,11590,116,2024-10-14,2,4172,8344
50093,14996,198,2017-01-02,2,3929,7858
50094,11502,151,2022-01-16,1,2237,2237
50095,13795,111,2024-10-16,3,1963,5889
50096,14319,111,2023-08-29,2,1963,3926
50097,13081,163,2022-07-15,1,2018,2018
50098,11077,153,2022-09-20,2,4599,9198
50099,11101,189,2016-07-29,1,1885,1885
50100,10503,158,2017-04-21,3,3816,11448
50101,11340,119,2022-08-23,4,3382,13528
50102,13886,132,2019-10-29,3,2539,7617
50103,10624,150,2020-07-31,1,507,507
50104,11887,172,2021-01-23,3,2784,8352
50105,13351,155,2024-02-05,1,742,742
50106,11051,176,2024-08-19,1,2897,2897
50107,13773,141,2018-04-24,3,4158,12474
50108,13917,199,2021-04-15,4,2414,9656
50109,14019,170,2015-12-06,3,3796,11388
50110,11330,121,2024-08-18,1,1892,1892
50111,14115,126,2023-10-15,4,3327,13308
50112,13368,101,2020-11-26,1,2654,2654
50113,13952,181,2022-11-17,4,4112,16448
50114,12498,199,2021-09-30,3,2414,7242
50115,11574,127,2021-10-09,3,1507,4521
50116,12635,150,2017-12-03,1,507,507
50117,12769,166,2020-05-19,4,989,3956
50118,11212,200,2015-12-08,1,1977,1977
50119,10776,165,2023-05-09,4,3709,14836
50120,11161,110,2021-02-26,1,3201,3201
50121,12384,195,2021-08-22,3,1340,4020
50122,12655,137,2018-02-01,2,2774,5548
50123,13541,169,2021-11-10,1,4890,4890
50124,14698,141,2017-09-17,2,4158,8316
50125,14636,146,2024-07-18,3,3287,9861
50126,11096,177,2023-01-27,2,4283,8566
50127,10024,145,2016-09-23,4,4668,18672
50128,14720,188,2018-11-26,2,3585,7170
50129,13557,127,2018-11-14,1,1507,1507
50130,11080,165,2018-10-17,2,3709,7418
50131,14319,184,2018-12-28,4,2096,8384
50132,10179,108,2024-06-16,3,4568,13704
50133,12848,167,2017-11-17,4,1469,5876
50134,11961,149,2023-09-14,1,1331,1331
50135,11474,196,2019-12-21,4,3427,13708
50136,14889,189,2020-06-11,2,1885,3770
50137,14980,189,2022-01-31,2,1885,3770
50138,11213,114,2023-12-02,4,4363,17452
50139,10810,162,2021-02-20,2,2853,5706
50140,10420,143,2023-10-23,2,3636,7272
50141,13660,127,2017-02-10,1,1507,1507
50142,13817,196,2017-05-21,1,3427,3427
50143,11279,127,2022-06-29,1,1507,1507
50144,12524,168,2015-05-08,3,1252,3756
50145,11441,175,2020-04-03,3,3531,10593
50146,11341,148,2015-04-16,1,4184,4184
50147,12222,167,2018-12-10,4,1469,5876
50148,12393,125,2021-07-27,4,3853,15412
50149,11362,164,2018-11-07,4,4350,17400
50150,10592,124,2024-05-13,1,2689,2689
50151,10527,109,2019-02-13,3,4399,13197
50152,12504,108,2022-11-21,2,4568,9136
50153,11293,195,2021-06-19,4,1340,5360
50154,11655,159,2024-11-03,1,1459,1459
50155,14907,117,2017-09-27,1,1354,1354
50156,10188,143,2024-05-24,2,3636,7272
50157,12759,195,2024-04-15,3,1340,4020
50158,10529,168,2016-01-19,3,1252,3756
50159,10434,104,2017-09-28,1,1034,1034
50160,13513,108,2015-01-17,2,4568,9136
50161,11805,142,2018-10-25,3,3008,9024
50162,10303,149,2020-02-15,2,1331,2662
50163,14183,106,2017-12-25,2,2840,5680
50164,10438,173,2017-06-04,1,2154,2154
50165,12589,142,2018-02-10,2,3008,6016
50166,10833,172,2018-12-10,2,2784,5568
50167,10797,132,2015-03-12,2,2539,5078
50168,10560,115,2020-05-02,4,2930,11720
50169,13589,182,2023-07-30,2,3640,7280
50170,10762,187,2016-03-19,2,4772,9544
50171,13575,169,2023-04-05,1,4890,4890
50172,13786,127,2024-04-08,3,1507,4521
50173,12515,197,2021-12-05,3,2573,7719
50174,10685,166,2024-01-29,2,989,1978
50175,14234,159,2022-01-08,1,1459,1459
50176,10578,128,2018-10-25,1,4153,4153
50177,14806,124,2021-06-22,2,2689,5378
50178,10228,151,2023-06-20,2,2237,4474
50179,12329,121,2022-07-08,3,1892,5676
50180,12732,131,2016-12-21,3,3963,11889
50181,10828,175,2015-08-19,3,3531,10593
50182,10431,150,2024-11-06,2,507,1014
50183,11064,192,2017-05-13,3,4884,14652
50184,11710,140,2024-09-10,1,396,396
50185,11235,168,2023-08-16,4,1252,5008
50186,10302,116,2016-07-16,4,4172,16688
50187,11421,176,2017-02-07,4,2897,11588
50188,14629,186,2022-10-26,1,2062,2062
50189,10769,199,2022-01-21,4,2414,9656
50190,11405,163,2015-10-17,2,2018,4036
50191,10444,156,2018-05-26,2,1132,2264
50192,13105,180,2020-11-17,4,956,3824
50193,14356,124,2021-01-05,4,2689,10756
50194,13306,199,2024-06-18,3,2414,7242
50195,11539,128,2023-11-01,1,4153,4153
50196,13931,193,2016-01-30,3,3400,10200
50197,11332,185,2016-01-11,1,4663,4663
50198,10070,189,2020-11-19,3,1885,5655
50199,13436,131,2019-07-09,2,3963,7926
50200,10481,115,2017-02-20,1,2930,2930
50201,14095,142,2020-11-09,4,3008,12032
50202,13497,199,2020-05-28,1,2414,2414
50203,12794,150,2021-09-24,1,507,507
50204,12893,186,2016-02-10,3,2062,6186
50205,11199,105,2020-08-30,4,2768,11072
50206,12373,148,2022-05-03,3,4184,12552
50207,11893,113,2018-12-02,4,3481,13924
50208,11884,132,2020-08-28,3,2539,7617
50209,10798,167,2019-04-09,4,1469,5876
50210,10018,179,2024-11-18,1,2935,2935
50211,10044,191,2021-01-09,2,2740,5480
50212,10155,191,2015-10-28,4,2740,10960
50213,14963,130,2020-03-14,3,3381,10143
50214,13449,106,2016-02-17,1,2840,2840
50215,14839,125,2021-02-27,3,3853,11559
50216,14081,128,2020-07-27,1,4153,4153
50217,11426,162,2020-12-26,1,2853,2853
50218,14321,122,2019-12-21,4,4561,18244
50219,14313,168,2020-09-02,3,1252,3756
50220,13640,115,2020-08-21,1,2930,2930
50221,14127,126,2020-12-22,3,3327,9981
50222,11893,163,2023-03-03,1,2018,2018
50223,10898,118,2020-10-29,4,680,2720
50224,13425,173,2018-10-10,2,2154,4308
50225,14541,163,2017-12-29,2,2018,4036
50226,11259,162,2018-05-12,2,2853,5706
50227,12016,168,2016-08-13,2,1252,2504
50228,14834,148,2023-04-28,4,4184,16736
50229,11703,150,2024-03-04,4,507,2028
50230,10874,163,2016-12-11,4,2018,8072
50231,10566,169,2024-06-12,3,4890,14670
50232,12019,106,2024-03-19,1,2840,2840
50233,11886,158,2024-07-18,1,3816,3816
50234,12124,151,2017-03-07,2,2237,4474
50235,14643,112,2024-07-31,2,2315,4630
50236,12315,195,2023-11-02,1,1340,1340
50237,14413,147,2019-05-31,1,4388,4388
50238,13884,109,2016-12-31,1,4399,4399
50239,13193,107,2020-02-03,4,932,3728
50240,11860,129,2021-05-13,4,844,3376
